offer_id,bundle_type,product_id,product_name,price,product_type,unit_in_mb,validity_in_days,type,units_minutes,units_sms,Data,Data_social,Min,Min_Flex,IDD,Dial,Owner,ui_product_id,ui_msg_id,atl_btl_channel,whitelist,action_family,target_intents,expected_lift_percent,offer_rationale,offer_name,offer_type,campaign_intent,benefit,validity_days,eligible_usage_segment,eligible_rfm_segment,estimated_arpu_lift,estimated_data_lift_gb,estimated_save_rate,cost_per_user,margin_impact,description
8857,Combo BTL Monthly,8857,NBE_Prepaid_RO5_12GB_200MIN_28D,5,COMBO,"12,288",28,,200,0,12,0,200,[NULL],[NULL],*171*807#,Omantel,"8,857","2,684",BTL,yes,upsell|bundle|cross_sell,recommend_best_campaign,8.5,"COMBO bundle, 5.0 OR for 28.0 days",NBE_Prepaid_RO5_12GB_200MIN_28D,combo,recommend_best_campaign,"12GB data, 200 minutes",28,medium|high,Loyal Customers|Potential Loyalist|Champions,5.1,3.6,0.0,3.0,positive,"Combo BTL Monthly — NBE_Prepaid_RO5_12GB_200MIN_28D: 12GB data, 200 minutes. COMBO bundle, 5.0 OR for 28.0 days."
USG_1170870,Tourist,USG_1170870,Tourist-5,5,COMBO,"6,144",10,Master,50,0,6,0,50 L+I,0,0,,Omantel,"7,878",742,ATL,yes,upsell|bundle|cross_sell,cross_sell,8.5,"COMBO bundle, 5.0 OR for 10.0 days",Tourist-5,combo,cross_sell,"6GB data, 50 minutes",10,medium|high,Loyal Customers|Potential Loyalist|Champions,5.1,1.8,0.0,3.0,positive,"Tourist — Tourist-5: 6GB data, 50 minutes. COMBO bundle, 5.0 OR for 10.0 days."
USG_1170800,Hayyak Plus,USG_1170800,Hayyak Plus 5 old,5,COMBO,"8,192",7,Master,50,0,8,0,0,50,0,,Omantel,"7,897",710,ATL,yes,upsell|bundle|cross_sell,increase_activity,8.5,"COMBO bundle, 5.0 OR for 7.0 days",Hayyak Plus 5 old,combo,increase_activity,"8GB data, 50 minutes",7,medium|high,Loyal Customers|Potential Loyalist|Champions,5.1,2.4,0.0,3.0,positive,"Hayyak Plus — Hayyak Plus 5 old: 8GB data, 50 minutes. COMBO bundle, 5.0 OR for 7.0 days."
7851,Combo BTL Monthly,7851,RO12 - 28GB and 500 Minutes,12,COMBO,"28,672",28,Addon,500,0,28,0,500,0,0,,Omantel,"7,851","2,561",BTL,yes,premium_upsell|bundle|upsell,increase_arpu|upsell,17.8,"COMBO bundle, 12.0 OR for 28.0 days",RO12 - 28GB and 500 Minutes,combo,increase_arpu,"28GB data, 500 minutes",28,high|very_high,Loyal Customers|Potential Loyalist|Champions,25.63,8.4,0.0,7.2,positive,"Combo BTL Monthly — RO12 - 28GB and 500 Minutes: 28GB data, 500 minutes. COMBO bundle, 12.0 OR for 28.0 days."
USG_1171010,Hayyak Plus,USG_1171010,Hayyak Plus 10 old,10,COMBO,"12,288",28,Master,250,0,12,0,0,250,0,,Omantel,"7,827",700,ATL,yes,premium_upsell|bundle|upsell,increase_arpu|upsell,15.4,"COMBO bundle, 10.0 OR for 28.0 days",Hayyak Plus 10 old,combo,increase_arpu,"12GB data, 250 minutes",28,medium|high,Loyal Customers|Potential Loyalist|Champions,18.48,3.6,0.0,6.0,positive,"Hayyak Plus — Hayyak Plus 10 old: 12GB data, 250 minutes. COMBO bundle, 10.0 OR for 28.0 days."
7865,Data BTL Weekly,7865,20 GB Weekly for only RO 8,8,DATA,"20,480",7,Addon,0,0,20,0,0,0,0,*171*830#,Omantel,"7,865","2,573",BTL,yes,premium_upsell|upsell|bundle,increase_arpu|increase_data_usage,11.8,"DATA bundle, 8.0 OR for 7.0 days",20 GB Weekly for only RO 8,data,increase_arpu,20GB data,7,medium|high|very_high,Loyal Customers|Potential Loyalist|Champions,11.33,6.0,0.0,4.8,positive,"Data BTL Weekly — 20 GB Weekly for only RO 8: 20GB data. DATA bundle, 8.0 OR for 7.0 days."
USG_1120920,UAE IDD,USG_1120920,UAE Etisalat 1 Day Pack,1,IDD,"10,000,000.00",1,Addon,0,0,999999,0,0,0,0,,Omantel,"8,051",790,ATL,yes,cross_sell|premium_bundle,cross_sell|increase_activity,2.9,"IDD bundle, 1.0 OR for 1.0 days",UAE Etisalat 1 Day Pack,idd,cross_sell,9765GB data,1,low|medium|high|very_high,Loyal Customers|Potential Loyalist|Champions,0.35,2929.69,0.0,0.6,positive,"UAE IDD — UAE Etisalat 1 Day Pack: 9765GB data. IDD bundle, 1.0 OR for 1.0 days."
USG_1170910,Jawazak,USG_1170910,Jawazak World 7Days - 2 GB - 15 OMR,15,ROAMING,"2,048",7,Addon,15,0,2,0,15,0,0,,Omantel,"7,886",733,ATL,yes,cross_sell|premium_bundle,cross_sell,13.6,"ROAMING bundle, 15.0 OR for 7.0 days",Jawazak World 7Days - 2 GB - 15 OMR,roaming,cross_sell,"2GB data, 15 minutes",7,medium|high|very_high,Loyal Customers|Potential Loyalist|Champions,24.48,0.6,0.0,9.0,positive,"Jawazak — Jawazak World 7Days - 2 GB - 15 OMR: 2GB data, 15 minutes. ROAMING bundle, 15.0 OR for 7.0 days."
USG_1140430,Monthly Data,USG_1140430,Monthly 2GB Auto Renewal Plan,5,DATA,"2,048",30,Addon,0,0,2,0,0,0,0,,Omantel,"8,047",752,ATL,yes,upsell|cross_sell|bundle,increase_arpu|increase_data_usage,8.5,"DATA bundle, 5.0 OR for 30.0 days",Monthly 2GB Auto Renewal Plan,data,increase_arpu,2GB data,30,medium|high|very_high,Loyal Customers|Potential Loyalist|Champions,5.1,0.6,0.0,3.0,positive,"Monthly Data — Monthly 2GB Auto Renewal Plan: 2GB data. DATA bundle, 5.0 OR for 30.0 days."
USG_1171030,Hayyak Plus,USG_1171030,Hayyak Plus 20,20,COMBO,"34,816",28,Master,650,0,34,0,0,650,0,,Omantel,"7,829",702,ATL,yes,premium_upsell|bundle|upsell,increase_arpu|upsell,25.0,"COMBO bundle, 20.0 OR for 28.0 days",Hayyak Plus 20,combo,increase_arpu,"34GB data, 650 minutes",28,high|very_high,Loyal Customers|Potential Loyalist|Champions,60.0,10.2,0.0,12.0,positive,"Hayyak Plus — Hayyak Plus 20: 34GB data, 650 minutes. COMBO bundle, 20.0 OR for 28.0 days."
